Level1,Level2,Level3,Level4,Content
ステップ4のヒント,B,ヒント1,,純粋なしりとりです。AとCの答えが分かっていれば確定できます。まずはAとCを解きましょう。
ステップ4のヒント,B,答え,,答えは「シロアン（白あん）」です。
ステップ4のヒント,C,,,ORACLEはCに適用されるため、答えは「りろん（理論）」であると分かります。
ステップ4のヒント,まとめの謎,ヒント1,,まずはBとCの答えを埋め、それを展開図とした立方体を作りましょう。以降のヒントはA~Cの答えを使用します。
ステップ4のヒント,まとめの謎,ヒント2,,立方体の展開図は下のようになります。<br>　　り<br>　しろあん<br>　　ん<br>また、Aの答えの最初と最後の文字「し」「ん」を除いてSからGまでたどる方法は1通りしかありません。移動するルートが分かれば、配置方法・文字の拾い方も判明します。移動ルートを特定しましょう。<br>次のヒントでは移動ルートを表示します。
ステップ4のヒント,まとめの謎,ヒント3,,"移動ルートは以下のようになります。このルートで1回転がすと水色の面が上になるように配置し、ア行の面が上になるマスの文字を読みましょう。<br><img src=""img/4_matome_ans.png"" class=""w-full"">"
ステップ4のヒント,まとめの謎,答え,,答えは「ぜったい（絶対）」です。
ラストステップのヒント,全体構造,ヒント1,,送られた画像には何かが足りません。まずはルールを見直して、不足しているものを推測しましょう。
ラストステップのヒント,全体構造,ヒント2,,この画像には、四隅にあるかぎかっこに似た形の記号のうち、右上と右下のものがありません。<br>では、どのような状況が想定できるでしょうか。手がかりは1番最初に送られた画像にあります。
ラストステップのヒント,全体構造,ヒント3,,1番最初に送られた画像では、2つの答えがある問題に対して、次に送信されるべき画像が半分ずつ送信されていました。 では、これを今の状況に照らし合わせて矛盾のないようにするにはどうすればよいでしょうか。
ラストステップのヒント,全体構造,答え,,ステップ4には<b>答えが2つあります</b>。これにより、ラストステップの謎画像が2つに分割されて送信されてしまっています。<br>また、それによりステップ2のまとめの謎の法則「答えの文字数で分割された謎は、その答えの文字数目を表す」が適用されてしまい、オラクルは本来4文字であるラストステップの答えの前半2文字だけを告げていることになります。<br>あなたがすべきことは、ステップ4のもう1つの答えを導き出し、ラストステップの謎画像の残り半分を手に入れることです。
ラストステップのヒント,その先のヒント,,,ステップ4の2つ目の答えを求めるためのヒントです。推奨する解きやすい順番は提示しておきますが、ヒントは任意の順番で見ることができます。<br>また、これらのヒントはCの「ボード」の中身を特定している前提で書かれています。もしまだボードを特定できていないのであれば、先に「ボードの正体」をご覧ください。
ラストステップのヒント,その先のヒント,解きやすい順番,,B→C→A
ラストステップのヒント,その先のヒント,ボードの正体,,Cに書かれている「ボード」の中身を特定するためのヒントです。
ラストステップのヒント,その先のヒント,ボードの正体,ヒント1,まずは描かれている▶と「ボード」という言葉に注目しましょう。これらに見覚えはないでしょうか。
ラストステップのヒント,その先のヒント,ボードの正体,ヒント2,"▶と「ボード」という言葉はステップ2のまとめの謎にありました。 このボードの謎の切り取られ方を見ると、答えが「し」から始まる3文字であると分かります。 そのような答えになる謎を探し出し、「ボード」を復元しましょう。<img src=""img/1_matome_ans.png"" class=""w-full"">"
ラストステップのヒント,その先のヒント,ボードの正体,ヒント3,"「し」から始まる3文字の答えになる謎は1つしかありません。 それは、ステップ1のまとめの謎、「しぜん」です。<br>この謎がステップ1のまとめの謎であることに注意して、ステップ2で見えている箇所からボードを復元しましょう。<br>なお、ステップ1の謎の答えは「なつかぜ」「しんがた」「したしみ」「まぜんた」「どん」です。<img src=""img/1_6_noise.png"" class=""w-full"">"
ラストステップのヒント,その先のヒント,ボードの正体,答え,"ステップ1の答えを埋めると答えが「しぜん」になるようなボード盤面は、画像のように1通りに確定します。<br><br>みど<br>しんがた<br>た　　ん<br>し　　ぜかつな<br>　　　ま<img src=""img/1_board.png"" class=""w-full"">"
ラストステップのヒント,その先のヒント,A,ヒント1,Aに埋まる言葉の要件を整理すると、「漢字の音読みが埋まる」「その漢字を構成するパーツの個数が1個、2個、3個の3種類」「そのうちの1つの音読みがモク」です。パーツの配置は「木」「林」「森」とは異なり、縦に積み重なります。
ラストステップのヒント,その先のヒント,A,ヒント2,「モク」は3個のパーツが組み合わさった漢字です。
ラストステップのヒント,その先のヒント,A,ヒント3,パーツは「口」です。
ラストステップのヒント,その先のヒント,A,答え,答えは「もち（餅）」です。マスには「口（コウ）」「日（ニチ）」「目（モク）」が埋まります。
ラストステップのヒント,その先のヒント,B,ヒント1,A、Cの答えが分かっていなくても、グループの残りの言葉だけである程度しりとりが成立します。ますはこれらの言葉でしりとりを行いましょう。
ラストステップのヒント,その先のヒント,B,ヒント2,グループIのしりとりは「ちょうぼ、ぼりびあ、あかねこ、こうし」、グループIIは「ちんか、かろりー、りょう、うかんむり」です。これらにしりとりが成立するように1単語追加することを考えましょう。次のヒントで示される「ある事実」を用いれば、追加することができる位置を限定することができます。
ラストステップのヒント,その先のヒント,B,ヒント3,重要なのは、Cの問題にあるボードです。これを見ると、唯一2文字であるAの答えの最後の文字を矢印が通っています。これが意味するのは、AとCは最後の文字が同じであるということです。この事実を用いて、A、Cの答えを追加できる位置を絞りましょう。
ラストステップのヒント,その先のヒント,B,ヒント4,A、Cの単語を追加できる位置は、「グループI、IIともに先頭」（A、Cいずれも「ち」で終わる答えの場合）または「グループI、IIの少なくとも1つは最後尾」（例えばAの答えが赤猫と講師の間にある「個々」だとすると、Cの答えの最後の文字も「こ」になりますが、最後の文字が「こ」の単語をグループIIに追加できる余地は最後尾しかない）のいずれかです。場合分けして考えましょう。
ラストステップのヒント,その先のヒント,B,ヒント5,以下の考察により、A、Cの単語を追加する位置は「グループI、IIともに先頭」であることが分かります。これによりBの答えが確定します。<br><br>「Cの答えがグループIIの最後尾につく」場合、Cの答えの1文字目は「り」です。また、このときBの答えの2文字目は「ろ」になります。まとめの謎の展開図からB、Cの答えの2文字目は一致するため、この場合Cの答えは「りろ？」となります。このような単語は「りろん」しかないので、どうやら1回目と同じ答えに帰着してしまいそうです。<br><br>一方、「Aの答えがグループIの最後尾につく」場合、Cの答えがグループIIの最後以外の場所に入ることを仮定すると、「しち」「しか」「しり」「しう」の4つだけです。これらのうちまとめの謎の盤面に2文字とも書かれているのは「しち」「しか」だけであり、また「しち」だとグループIがループしてしまうことから、この場合のAの答えは「しか」、Cの答えは「か？か」だと確定します。しかし、Cの問題のボードに注目するとCの答えが「か？か」になるためには埋める語群に「か」を含む4文字の単語が2つ以上なければならないはずですが、実際はそうでないため矛盾します。よって、「Aの答えがグループIの最後尾につく」わけではないようです。
ラストステップのヒント,その先のヒント,B,答え,答えは「こんぼう（棍棒）」です。
ラストステップのヒント,その先のヒント,C,,この問題を解くのはBの答えを求めてからでないと難しそうです。以降のヒントではBの答えを使用します。
ラストステップのヒント,その先のヒント,C,ヒント1,Aの答えは唯一2文字ですので、埋まる場所が確定しそうです。まずは残りの箇所の埋め方を考えましょう。
ラストステップのヒント,その先のヒント,C,ヒント2,「りょぎん」「にじいろ」「こんぼう（B)」は読み方が確定しますが、「銀杏」には2通りの読み方があります。もし一方で埋められなかった場合は、もう一方を試してみましょう。
ラストステップのヒント,その先のヒント,C,答え,答えは「にんち」です。また、同時にAの答えが「？ち」であることが確定します。<br><br>　ろ？<br>　いちょう<br>　じ　　ぼ<br>　に　　んぎょり<br>　　　　こ
ラストステップのヒント,その先のヒント,まとめの謎,ヒント1,まずはBとCの答えを埋め、それを展開図とした立方体を作りましょう。以降のヒントはA~Cの答えを使用します。
ラストステップのヒント,その先のヒント,まとめの謎,ヒント2,立方体の展開図は下のようになります。<br>　　に<br>　こんぼう<br>　　ち<br>また、Aの答えの最初と最後の文字「も」「ち」を除いてSからGまでたどる方法は1通りしかありません。移動するルートが分かれば、配置方法・文字の拾い方も判明します。移動ルートを特定しましょう。<br>次のヒントでは移動ルートを表示します。
ラストステップのヒント,その先のヒント,まとめの謎,ヒント3,"移動ルートは以下のようになります。このルートで1回転がすと水色の面が上になるように配置し、ア行の面が上になるマスの文字を読みましょう。<img src=""img/4_matome_ans2.png"" class=""w-full"">"
ラストステップのヒント,その先のヒント,まとめの謎,答え,答えは「ひとみ（瞳）」です。この答えを送信しましょう。ラストステップの謎のもう半分が手に入ります。
ラストステップのヒント,最後のヒント,,,ステップ4の2つの答えを送信し、ラストステップの謎全体が手に入った後のヒントです。
ラストステップのヒント,最後のヒント,ヒント,,ORACLEが左右の答えを分割して告げている（ステップ2まとめ謎の法則）ため、2つを繋げて読みましょう。それがラストステップの答えです。
ラストステップのヒント,最後のヒント,答え,,答えは「ことだま（言霊）」です。<br>なお、本来の謎では、数字が「らすとすてっぷのこたえはよんもじ」という文章の何文字目を拾うかを表しているという法則です。
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
